"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 29 15:17:59 GMT 2023","Sun Jan 29 15:18:00 GMT 2023","1053","","Actions","","","",".clear() - clears test input or textarea element",""
"passed","Sun Jan 29 15:17:57 GMT 2023","Sun Jan 29 15:17:58 GMT 2023","1164","","Actions","","","",".focus() - focus on a DOM element",""
"passed","Sun Jan 29 15:17:58 GMT 2023","Sun Jan 29 15:17:59 GMT 2023","996","","Actions","","","",".blur() - blur off a DOM element",""
