"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jan 29 15:18:26 GMT 2023","Sun Jan 29 15:18:27 GMT 2023","1096","","Actions","","","",".focus() - focus on a DOM element",""
"passed","Sun Jan 29 15:18:28 GMT 2023","Sun Jan 29 15:18:30 GMT 2023","1116","","Actions","","","",".clear() - clears test input or textarea element",""
"passed","Sun Jan 29 15:18:27 GMT 2023","Sun Jan 29 15:18:28 GMT 2023","1025","","Actions","","","",".blur() - blur off a DOM element",""
